date,pairId,pairName,description,shareRatio,oldShares,newShares,fractionalShares,referencePrice,cashInLieu,cashAfter
2001-06-20,hyundai_eandc,현대건설,Hyundai E&C 2001 capital reduction,0.16694,5023,838,0.5396200000000135,5451.060261171679,2941.501138133535,6236055.46113811
2004-01-13,hyundai_eandc,현대건설,Hyundai E&C 2004 capital reduction,0.1105,1650,182,0.32499999999998863,21601.80995475113,7020.588235293872,11686.979373401737
