period,n_obs,start_date,end_date,pearson_r,pearson_p,pearson_ci_low,pearson_ci_high,spearman_rho,spearman_p,beta,beta_se,beta_p,beta_ci_low,beta_ci_high,r_squared,hac_lag,beta_per_1pct_move,up_mean,down_mean,up_down_diff,up_down_diff_se,up_down_diff_p,up_count,down_count
2000s,1039,2001-11-21,2009-12-30,0.12080135642539457,9.332990839783228e-05,0.060427343378224224,0.18029471672800612,0.1965028838841066,1.4727019603810731e-10,16.066812053396788,3.125073985804987,2.7290480097974523e-07,9.941779592195978,22.191844514597598,0.014592967714215144,6.0,0.1606681205339679,0.16237288135593242,-0.22852678571428592,0.39089966707021834,0.1321372589381292,0.003093559904188803,590,448
2010s,2462,2010-01-04,2019-12-30,0.13601848462087276,1.144973005295924e-11,0.09703573303731906,0.1745845435642547,0.17878262184393146,0.0,15.77691823569383,2.6980908803588175,4.992028124206627e-09,10.48875728317458,21.065079188213076,0.018501028158558808,8.0,0.1577691823569383,0.07735408560311287,-0.09686224489795921,0.17421633050107208,0.047378278842344364,0.00023586816528453625,1285,1176
2020s,1516,2020-01-02,2026-04-03,0.34104487239966524,0.0,0.2957778339057008,0.3847836717879539,0.5005031769937872,0.0,13.29276801629141,0.9647690640938835,0.0,11.401855397268983,15.183680635313836,0.11631160499010418,7.0,0.1329276801629141,0.14351318944844127,-0.1663196480938416,0.30983283754228286,0.027320988082039605,0.0,834,682
