metric,period,years,raw_diff_mean,raw_diff_median,raw_negative_year_rate,dividend_removed_diff_mean,dividend_removed_diff_median,dividend_removed_negative_year_rate
preferred_yield_t-60,2000s,5,-1.2914999999999996,-1.5457142857142818,0.8,-0.23065879676051634,-0.8133529568220856,0.6
preferred_yield_t-60,2010s,10,-0.5734153846153847,-1.513666666666666,0.7,0.5259453916760293,-0.5361466552416608,0.6
preferred_yield_t-60,2020s,6,-2.2343510656010657,-1.7337499999999997,0.6666666666666666,-1.5576742908513992,-1.671149555067869,0.6666666666666666
yield_gap_t-60,2000s,5,-1.67325,-2.8500000000000014,0.8,-0.6126488279254194,-1.2028823687941426,0.6
yield_gap_t-60,2010s,10,-1.032096153846154,-1.350666666666667,0.8,-0.11019373330731738,-0.5387074274684749,0.7
yield_gap_t-60,2020s,6,-3.642821428571428,-2.940249999999999,1.0,-2.6723951511263984,-2.0697096637621106,0.6666666666666666
