preferred_yield_quartile,n,preferred_yield_mean,yield_gap_mean,raw_change_mean,raw_change_median,raw_contraction_rate,dividend_removed_change_mean,dividend_removed_change_median,preferred_only_removed_change_mean
Q1 low,179,0.9385058707556196,0.4566229646938299,1.2261452513966482,0.6200000000000045,0.44692737430167595,1.319982758751691,0.7883035463063095,1.745428101076471
Q2,178,2.2759405903307925,1.162481743270788,-0.20674157303370808,-0.14499999999999602,0.5168539325842697,0.29405675631870115,0.24010198604401012,0.9590267787105405
Q3,178,3.5751331560470017,1.7597695288190809,0.024044943820224606,-0.13500000000000512,0.5168539325842697,0.8255116933055282,0.695239168948298,1.864680721020093
Q4 high,179,6.52268642258275,2.6404974077321586,-0.004413407821228892,0.10000000000000142,0.4860335195530726,1.4224415363628085,1.3571952585530411,3.8924537123019145
