horizon_days,n_obs,start_date,end_date,pearson_r,pearson_p,pearson_ci_low,pearson_ci_high,spearman_rho,spearman_p,beta,beta_se,beta_p,beta_ci_low,beta_ci_high,r_squared,hac_lag,beta_per_1pct_move,up_mean,down_mean,up_down_diff,up_down_diff_se,up_down_diff_p,up_count,down_count
1,5017,2001-11-21,2026-04-03,0.14626441151831115,0.0,0.11907407450091187,0.17323553163017474,0.26178450843617573,0.0,14.92640252110165,1.3901989341322587,0.0,12.201662678856453,17.651142363346846,0.021393278076797584,9.0,0.1492640252110165,0.11623846437799926,-0.14298352124891586,0.2592219856269151,0.036902802573095354,2.148947686464453e-12,2709,2306
5,4994,2005-09-15,2026-04-03,0.21270305740425746,0.0,0.18606480942220802,0.23902884304044253,0.29321926070116244,0.0,11.152671090547484,1.1752417346494626,0.0,8.849239617506159,13.456102563588809,0.04524259062911884,9.0,0.11152671090547484,0.2454729011689692,-0.3080884385076003,0.5535613396765695,0.04985567079639817,0.0,2823,2171
20,4964,2005-10-14,2026-04-03,0.2063159032695524,0.0,0.17952668718582715,0.23279935380955416,0.26006531869196353,0.0,7.353531169291425,1.2371390198721959,2.781813890351259e-09,4.928783246472739,9.778279092110111,0.04256625194193098,9.0,0.07353531169291425,0.3288483345145285,-0.3701353874883286,0.6989837220028571,0.10747484967688141,7.837019921907995e-11,2822,2142
