period,n,pair_count,preferred_yield_mean,yield_gap_mean,raw_change_mean,raw_change_median,raw_contraction_rate,dividend_removed_change_mean,dividend_removed_change_median,dividend_removed_contraction_rate
2000s,124,27,3.591315784867656,1.8553945248121433,1.3665322580645163,0.995000000000001,0.4112903225806452,2.2816516577762234,1.8217966881724585,0.3467741935483871
2010s,388,49,3.1099398200353456,1.490269666370448,-0.36355670103092785,-0.2700000000000006,0.5335051546391752,0.2920288633900937,0.47781991286105807,0.44329896907216493
2020s,202,54,3.5894294052748132,1.3349911066158084,0.7810891089108911,0.38000000000000167,0.4603960396039604,1.4611048613084228,0.9983524748899129,0.3910891089108911
