y,x,n,beta,se,t
change_t-60_to_t-1,preferred_yield_t-60,714,-0.20408185432151643,0.09580354018957972,-2.130212035146837
change_t-60_to_t-1,yield_gap_t-60,708,-0.784133366946774,0.2024957955707853,-3.8723439404581073
change_t-60_to_t-1,preferred_yield_t-60,714,-0.3104264976859719,0.09721473148252642,-3.193204290666262
change_t-60_to_t-1,spread_t-60,714,-0.06425991300283276,0.013962700092201413,-4.602255479133571
change_t-60_to_t-1,yield_gap_t-60,708,-0.6276172625613989,0.2095716311490252,-2.994762502540737
change_t-60_to_t-1,spread_t-60,708,-0.03822244372101424,0.014025512769801877,-2.7252082935114084
endpoint_dividend_removed_change,preferred_yield_t-60,708,0.014206554396979234,0.09579428254385593,0.14830273811461847
endpoint_dividend_removed_change,yield_gap_t-60,708,-0.35120676283926544,0.20421878002527735,-1.7197574228765569
