year,period,metric,n,low_n,high_n,low_metric_mean,high_metric_mean,low_raw_change_mean,high_raw_change_mean,raw_high_minus_low,low_dividend_removed_change_mean,high_dividend_removed_change_mean,dividend_removed_high_minus_low,preferred_only_removed_high_minus_low
2005,2000s,preferred_yield_t-60,19,6,6,1.558738188359843,5.4137576667538925,1.5733333333333348,-1.8566666666666667,-3.4300000000000015,1.9727657606532858,-0.5208134693496902,-2.493579230002976,-1.0235002979461647
2006,2000s,preferred_yield_t-60,22,7,7,1.1682629332554335,5.347911824584352,0.904285714285715,4.090000000000002,3.185714285714287,1.0847287413885394,5.39038741929383,4.305658677905291,5.407021516037477
2007,2000s,preferred_yield_t-60,22,7,7,1.1833238893783915,3.9730486908149154,5.232857142857141,3.6871428571428595,-1.5457142857142818,5.501566943186881,4.688213986364795,-0.8133529568220856,0.21733167089253413
2008,2000s,preferred_yield_t-60,25,8,8,1.0370927849158327,5.955576330687942,3.3262500000000017,-1.22375,-4.550000000000002,3.6912087475211672,0.8746006091956415,-2.8166081383255257,-1.9088257049773665
2009,2000s,preferred_yield_t-60,25,8,8,1.4543455721396317,4.887244876772908,-0.7087499999999989,-0.826249999999999,-0.11750000000000016,-0.3721619435340746,0.29242571990863997,0.6645876634427146,1.026680762813982
2010,2010s,preferred_yield_t-60,31,10,10,1.3437204854913047,4.749932918539244,2.784,-1.0259999999999985,-3.8099999999999983,3.092015891353577,-0.04267228684364639,-3.1346881781972233,-2.7079116385868396
2011,2010s,preferred_yield_t-60,31,10,10,1.508179217988341,5.887749602631457,2.209,2.13,-0.07900000000000018,2.4694433854877316,3.3427721833266872,0.8733287978389557,1.3066086972180369
2012,2010s,preferred_yield_t-60,32,10,10,1.4248659967412303,5.82615708174814,0.6479999999999995,-0.6059999999999988,-1.2539999999999982,0.9740996653986288,0.6192321312552608,-0.354867534143368,-0.06179136185858791
2013,2010s,preferred_yield_t-60,39,12,12,1.3189192850209148,4.044687419579097,0.3891666666666662,-1.3841666666666674,-1.7733333333333337,0.7290708936352264,-0.39258729868066755,-1.121658192315894,-0.4760468079451935
2014,2010s,preferred_yield_t-60,40,12,12,0.7679986471270133,4.340750600005668,6.7525,3.580833333333333,-3.1716666666666673,5.393817491763077,4.676391715423123,-0.7174257763399536,-0.8144887414978106
2015,2010s,preferred_yield_t-60,44,13,13,0.9103761613364143,5.861683863312587,-3.9830769230769225,0.04076923076922929,4.023846153846152,-3.7906348077193734,1.3386791610809743,5.129313968800348,7.3754912614801
2016,2010s,preferred_yield_t-60,43,13,13,1.0960236440777595,6.36941069417054,-3.2615384615384615,0.8484615384615386,4.11,-2.9882275495478887,2.2511638363978594,5.239391385945748,7.714002955405906
2017,2010s,preferred_yield_t-60,41,13,13,1.211717891429195,5.4256953107635955,1.046923076923077,-1.1892307692307684,-2.2361538461538455,1.355921825071352,0.033554735116087434,-1.3223670899552646,0.8287963303402794
2018,2010s,preferred_yield_t-60,44,13,13,1.0416122049649743,5.5183974139388665,0.3830769230769253,-2.8430769230769233,-3.2261538461538484,0.7062224149847154,-1.5468695408910196,-2.253091955875735,0.09224790787668558
2019,2010s,preferred_yield_t-60,43,13,13,1.0949433527876313,6.582537171698605,-2.3899999999999992,-0.7076923076923071,1.6823076923076923,-2.1499781461523195,0.7715403448503602,2.9215184910026797,5.1906885140246715
2020,2020s,preferred_yield_t-60,44,13,13,1.0200374027725283,7.618304294295858,7.435384615384615,-0.18692307692307697,-7.622307692307692,8.02526944758552,1.1590798126286985,-6.866189634956822,-3.306817059094085
2021,2020s,preferred_yield_t-60,46,14,14,1.0344162476292815,6.761556928650813,2.904285714285714,-0.7907142857142865,-3.6950000000000003,3.2182922459554386,0.4433697980387866,-2.774922447916652,0.3833846689185858
2022,2020s,preferred_yield_t-60,47,14,14,1.0767346089629652,7.009856462690968,0.35714285714285726,1.0085714285714293,0.6514285714285721,0.587596572305023,2.4145686113157154,1.8269720390106925,4.989395251744847
2023,2020s,preferred_yield_t-60,35,11,11,1.0716173206201378,6.258826547752784,0.13454545454545427,0.8618181818181807,0.7272727272727264,0.36590668281876954,2.176300091708894,1.8103934088901246,4.325115819696513
2024,2020s,preferred_yield_t-60,18,6,6,0.6072731615703802,5.078207062595929,-1.0250000000000021,-1.3750000000000007,-0.34999999999999853,-0.873202355674478,-1.8635785713110575,-0.9903762156365795,2.8545468627598822
2025,2020s,preferred_yield_t-60,12,4,4,0.8291720724452697,3.8161848746222153,2.277499999999999,-0.8400000000000016,-3.1175000000000006,2.4012959221969536,0.04937302769779528,-2.3519228944991584,-1.0272775304077575
2005,2000s,yield_gap_t-60,19,6,6,0.2683530985504529,2.359588024104102,2.2249999999999996,-1.8650000000000009,-4.090000000000001,2.362041964984431,-0.5031189968064348,-2.865160961790866,-1.8822700786034752
2006,2000s,yield_gap_t-60,22,7,7,0.36828040418374064,2.309212049560283,0.904285714285715,4.742857142857145,3.83857142857143,1.0847287413885394,5.978506295788362,4.893777554399823,5.608852558077724
2007,2000s,yield_gap_t-60,22,7,7,0.47550949418381305,1.8421849742547989,6.487142857142857,1.53857142857143,-4.948571428571427,6.828050508990498,2.4711492783475992,-4.356901230642899,-4.7975056359174015
2008,2000s,yield_gap_t-60,25,8,8,0.4552558434344043,3.7748719269256936,2.3937500000000016,-0.4562499999999998,-2.8500000000000014,2.7520451451108334,1.5491627763166909,-1.2028823687941426,-0.5327961681202034
